timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3,thermistor
1729319889.2434521,,,,,,,,,,,,,nan,263465710.0,nan,
1729319889.2456620,794.57874,795.78754,793.36993,797.8022,nan,nan,,,,,,,,,,
1729319889.2495642,794.17584,804.2491,789.34064,790.14655,nan,nan,,,,,,,,,,
1729319889.2534661,803.0403,795.78754,795.78754,800.2198,nan,nan,,,,,,,,,,
1729319889.2573681,805.8608,790.9524,802.23444,804.2491,nan,nan,,,,,,,,,,
1729319889.2581129,,,,,,,-0.37164307,0.034179688,0.9321289,,,,,,,
1729319889.2590623,,,,,,,,,,,,,nan,263406080.0,nan,
1729319889.2612700,798.60803,788.5348,802.6374,796.99634,nan,nan,,,,,,,,,,
1729319889.2651720,779.2674,784.5055,792.96704,783.69965,nan,nan,,,,,,,,,,
1729319889.2690742,787.326,791.3553,790.54944,791.3553,nan,nan,,,,,,,,,,
1729319889.2729762,809.4872,783.69965,796.5934,801.8315,nan,nan,,,,,,,,,,
1729319889.2746723,,,,,,,,,,,,,nan,263485860.0,nan,
1729319889.2766356,,,,,,,-0.36932373,0.03881836,0.9227905,,,,,,,
1729319889.2768781,805.8608,771.2088,799.81683,795.78754,nan,nan,,,,,,,,,,
1729319889.2803297,,,,,,,,,,1581098.9,1582710.6,,,,,
1729319889.2807801,795.78754,778.0586,794.9817,790.9524,nan,nan,,,,,,,,,,
1729319889.2846820,783.69965,788.1319,784.90845,786.9231,nan,nan,,,,,,,,,,
1729319889.2885840,783.2967,795.78754,786.52014,787.326,nan,nan,,,,,,,,,,
1729319889.2902825,,,,,,,,,,,,,nan,263491500.0,nan,
1729319889.2924862,800.2198,798.20514,785.31134,793.36993,nan,nan,,,,,,,,,,
1729319889.2951584,,,,,,,-0.38012695,0.03265381,0.9348755,,,,,,,
1729319889.2963881,805.05493,793.7729,786.9231,794.57874,nan,nan,,,,,,,,,,
1729319889.3002901,802.23444,792.5641,797.3993,788.93774,nan,nan,,,,,,,,,,
1729319889.3041921,789.34064,794.57874,802.23444,783.69965,nan,nan,,,,,,,,,,
1729319889.3058927,,,,,,,,,,,,,nan,263486670.0,nan,
1729319889.3080940,784.5055,795.78754,804.2491,792.1612,nan,nan,,,,,,,,,,
1729319889.3119960,800.6227,800.6227,796.99634,808.68134,nan,nan,,,,,,,,,,
1729319889.3136811,,,,,,,-0.37426758,0.026367188,0.9263916,,,,,,,
1729319889.3153400,,,,,,,,,,1581098.9,1583516.5,,,,,
1729319889.3158982,805.8608,800.2198,789.7436,810.293,nan,nan,,,,,,,,,,
1729319889.3198001,804.2491,790.14655,792.5641,806.26373,nan,nan,,,,,,,,,,
1729319889.3215029,,,,,,,,,,,,,nan,263489890.0,nan,
1729319889.3237021,785.7143,782.8938,793.36993,802.6374,nan,nan,,,,,,,,,,
1729319889.3276041,778.86444,790.9524,792.5641,800.6227,nan,nan,,,,,,,,,,
1729319889.3315060,809.4872,800.6227,795.78754,811.0989,nan,nan,,,,,,,,,,
1729319889.3322036,,,,,,,-0.37164307,0.035583496,0.9348755,,,,,,,
1729319889.3354082,816.7399,791.3553,789.34064,812.71063,nan,nan,,,,,,,,,,
1729319889.3371131,,,,,,,,,,,,,nan,263477810.0,nan,
1729319889.3393102,806.6667,784.90845,785.7143,809.0842,nan,nan,,,,,,,,,,
1729319889.3432121,789.34064,784.10254,788.93774,807.8755,nan,nan,,,,,,,,,,
1729319889.3471141,778.46155,786.52014,794.9817,807.0696,nan,nan,,,,,,,,,,
1729319889.3503501,,,,,,,,,,1581098.9,1582710.6,,,,,
1729319889.3507264,,,,,,,-0.3656006,0.038757324,0.9336548,,,,,,,
1729319889.3510160,795.38464,792.5641,790.9524,803.0403,nan,nan,,,,,,,,,,
1729319889.3527234,,,,,,,,,,,,,nan,263461680.0,nan,
1729319889.3549180,802.6374,790.14655,785.31134,793.7729,nan,nan,,,,,,,,,,
1729319889.3588202,798.60803,785.31134,784.90845,786.1172,nan,nan,,,,,,,,,,
1729319889.3627222,787.326,776.4469,784.5055,778.46155,nan,nan,,,,,,,,,,
1729319889.3666241,778.0586,778.46155,792.96704,782.0879,nan,nan,,,,,,,,,,
1729319889.3683333,,,,,,,,,,,,,nan,263535020.0,nan,
1729319889.3692491,,,,,,,-0.36364746,0.039367676,0.9343872,,,,,,,
1729319889.3705261,792.1612,792.1612,796.1905,795.38464,nan,nan,,,,,,,,,,
1729319889.3744280,803.0403,797.3993,797.3993,795.78754,nan,nan,,,,,,,,,,
1729319889.3783300,800.6227,794.17584,796.5934,794.17584,nan,nan,,,,,,,,,,
1729319889.3822322,796.1905,792.5641,791.3553,792.96704,nan,nan,,,,,,,,,,
1729319889.3839436,,,,,,,,,,,,,nan,263505200.0,nan,
1729319889.3853605,,,,,,,,,,1581098.9,1583516.5,,,,,
1729319889.3861341,778.46155,792.5641,788.5348,791.75824,nan,nan,,,,,,,,,,
1729319889.3877718,,,,,,,-0.36535645,0.039001465,0.9373169,,,,,,,
1729319889.3900361,782.8938,795.78754,793.36993,795.78754,nan,nan,,,,,,,,,,
1729319889.3939381,794.9817,788.1319,797.8022,796.1905,nan,nan,,,,,,,,,,
